arrival_time_s,input_len,output_len
206.1419,512,32
206.5050,2048,32
206.6566,512,32
206.7485,4096,1024
206.9082,3072,128
206.9245,2048,512
207.0627,5120,32
207.1642,128,32
207.2871,512,32
207.4216,2048,128
207.6600,2048,512
207.9160,6144,32
207.9202,32,32
208.2561,512,32
208.4023,1024,32
208.7435,512,32
209.1499,3072,32
209.2464,1024,32
209.4959,3072,32
209.6585,2048,128
209.8988,2048,128
210.0049,512,32
210.2433,2048,128
210.3100,2048,32
210.4131,6144,32
210.6488,4096,512
210.6630,512,128
210.9019,2048,32
211.1529,2048,32
211.4139,5120,32
211.5524,3072,128
211.7434,2048,32
211.8001,512,32
212.1515,1024,32
212.3981,512,32
212.4954,2048,32
212.5435,512,128
212.7927,4096,512
212.9057,1024,128
213.0003,512,32
213.1539,512,32
213.2976,512,32
213.4079,512,32
213.6542,512,32
213.7944,1024,32
213.9957,7168,32
214.1653,5120,512
214.4346,2048,512
214.7905,32,32
214.9133,2048,128
215.2936,2048,32
215.5450,512,32
215.8933,1024,32
216.0412,3072,512
216.2430,3072,32
216.4987,1024,128
216.6429,2048,32
216.7544,512,32
216.8993,512,32
216.9965,2048,512
217.1474,512,32
217.4188,512,32
217.5048,512,32
217.6506,2048,32
217.7534,2048,32
217.9023,512,32
217.9166,512,32
218.1452,7168,512
218.5035,1024,32
218.7834,3072,32
218.9010,128,32
219.1420,512,32
219.1669,4096,128
219.4974,512,32
219.6566,3072,512
219.8210,1024,32
219.9122,1024,32
220.1852,512,32
220.4041,512,32
220.6645,1024,32
220.7831,512,32
220.9086,128,128
221.1571,1024,32
221.2544,2048,32
221.2898,1024,32
221.3973,512,32
221.6432,512,32
221.6548,2048,32
222.0053,2048,512
222.0338,2048,512
222.1544,4096,1024
222.4053,3072,512
222.5356,512,32
222.9134,1024,512
223.0348,512,32
223.2847,512,32
223.3941,512,32
223.7904,2048,128
223.8965,1024,32
224.1455,128,128
224.2839,3072,512
224.5224,3072,32
224.6585,512,32
224.7484,3072,512
224.9098,2048,512
224.9152,512,32
225.1575,2048,512
225.4060,512,32
225.5376,512,32
225.9038,512,32
226.1651,512,32
226.5011,512,32
226.6641,2048,32
226.9030,1024,32
227.0001,1024,32
227.1445,512,32
227.2557,5120,32
227.4992,3072,128
227.7827,2048,512
228.0361,2048,512
228.4000,512,32
228.7467,128,32
228.9050,5120,32
229.1468,1024,32
229.4212,512,32
229.5399,128,32
229.6519,2048,512
229.9236,3072,512
230.1699,4096,512
230.2494,3072,32
230.4972,512,32
230.7838,512,32
231.1933,2048,128
231.2485,2048,128
231.5366,128,32
231.6561,512,32
231.7447,3072,512
231.7826,4096,32
231.9160,3072,512
232.1520,2048,128
232.3969,512,32
232.4937,512,32
232.6517,7168,32
232.8969,3072,32
232.9374,1024,32
233.3924,3072,128
233.5551,6144,512
233.8977,128,32
234.1450,1024,32
234.5984,512,32
234.7432,4096,32
235.1521,1024,128
235.3998,3072,32
235.6611,2048,32
235.9217,2048,128
236.1608,512,32
236.4005,512,32
236.7941,2048,32
237.1626,512,32
237.4067,2048,32
237.6656,512,32
237.9125,512,32
237.9949,512,32
238.2455,512,32
238.3549,2048,512
238.6526,2048,128
238.9053,2048,32
239.1584,512,32
239.2913,3072,128
239.4946,512,32
239.6638,3072,32
239.7532,1024,32
239.9123,512,32
240.2434,5120,32
240.4139,3072,128
240.6613,128,32
240.9137,128,128
241.2445,512,32
241.7898,128,128
241.9189,512,32
242.1738,512,32
242.4203,128,32
242.6484,512,32
242.6732,2048,512
242.8913,128,32
242.9979,1024,128
243.1703,2048,512
243.4356,7168,32
243.6604,2048,32
243.7921,512,128
244.0397,512,32
244.2444,3072,128
244.7444,512,32
244.9954,512,32
245.1701,512,32
245.4190,4096,512
245.9025,1024,32
246.1633,32,32
246.3930,3072,32
246.6452,128,32
246.8931,4096,32
246.9229,128,32
247.5051,2048,128
247.7989,2048,512
248.1577,6144,128
248.4065,1024,128
248.6434,1024,32
248.9140,2048,32
249.0038,4096,1024
249.1638,3072,512
249.4059,512,32
249.4991,128,128
249.6612,512,32
249.9171,512,32
249.9986,512,32
250.4989,512,32
250.6684,1024,32
250.7895,512,32
250.9195,2048,128
251.0912,6144,1024
251.2431,512,32
251.2493,3072,512
251.4167,6144,512
251.4977,4096,512
251.9077,512,32
252.0419,512,32
252.4079,512,32
252.4949,2048,32
252.6550,2048,128
253.1573,2048,32
253.4138,512,32
253.6424,512,32
253.9959,512,32
254.2455,512,32
254.3325,1024,32
254.4114,512,32
254.7480,1024,128
254.9126,4096,512
255.2456,2048,32
255.4931,512,32
255.5415,128,32
255.8997,128,128
256.2973,6144,32
256.5001,2048,512
256.7540,512,32
256.9151,512,32
257.1496,3072,128
257.2545,1024,32
257.3959,7168,32
257.4970,4096,32
257.6648,4096,512
257.9923,512,128
258.1429,3072,128
258.2550,1024,32
258.5034,128,128
258.5464,5120,32
258.6835,128,32
258.8998,2048,32
258.9216,128,32
259.1414,128,32
259.1542,512,32
259.2859,6144,512
259.6494,2048,32
260.0421,2048,32
260.1949,512,32
260.4013,512,32
260.6452,128,128
260.6719,4096,32
261.1516,2048,32
261.3947,4096,32
261.4941,512,32
261.6449,4096,512
261.6701,1024,128
261.7869,2048,32
261.8993,2048,512
262.0368,2048,32
262.2422,512,32
262.3981,512,32
262.4971,4096,32
262.5364,1024,32
262.7867,1024,32
262.9220,512,128
262.9952,2048,32
263.3918,512,32
263.6544,512,32
263.7433,512,32
263.9924,512,32
264.1584,512,32
264.3033,6144,32
264.4287,2048,32
264.7014,3072,32
264.8919,512,32
265.1442,512,32
265.3998,512,32
265.4946,1024,512
265.6727,2048,512
265.6733,512,32
265.9401,128,32
266.2409,512,32
266.4211,128,128
266.6413,6144,32
266.7448,2048,32
266.9086,4096,32
267.0022,512,32
267.2425,512,32
267.4643,5120,32
267.7672,4096,512
267.9240,512,32
268.1458,1024,32
268.2424,1024,32
268.4234,1024,32
268.5354,512,32
268.7453,3072,512
268.8938,512,32
269.0366,2048,32
269.2466,512,32
269.3967,512,32
269.6746,5120,32
270.0373,512,32
270.2586,2048,32
270.5342,2048,512
270.9128,512,32
271.2432,2048,512
271.2876,1024,128
271.5358,2048,128
271.9111,3072,128
272.1572,512,32
272.4233,2048,32
272.6702,128,32
272.9070,2048,32
272.9955,1024,32
