mono_s,power_w,sm_mhz,energy_mj
2505659.938,71.67,1500,56345393488
2505660.057,71.68,1500,56345407795
2505660.176,71.74,1500,56345414957
2505660.297,71.72,1500,56345422135
2505660.417,71.78,1500,56345429299
2505660.537,71.70,1500,56345436487
2505660.657,71.84,1500,56345450833
2505660.777,71.84,1500,56345458010
2505660.896,71.87,1500,56345465182
2505661.017,71.82,1500,56345472360
2505661.137,71.85,1500,56345479552
2505661.257,71.89,1500,56345493899
2505661.375,71.90,1500,56345501073
2505661.496,71.98,1500,56345508259
2505661.616,71.98,1500,56345515464
2505661.737,71.89,1500,56345522637
2505661.857,71.95,1500,56345537012
2505661.976,71.99,1500,56345544202
2505662.097,71.98,1500,56345551400
2505662.216,71.97,1500,56345558568
2505662.336,71.96,1500,56345565768
2505662.456,72.06,1500,56345580156
2505662.574,72.01,1500,56345587353
2505662.696,72.06,1500,56345594544
2505662.816,72.06,1500,56345601737
2505662.935,72.02,1500,56345608911
2505663.056,72.03,1500,56345623303
2505663.176,72.07,1500,56345630475
2505663.297,72.02,1485,56345637682
2505663.416,72.09,1500,56345644868
2505663.536,71.89,1500,56345652074
2505663.656,72.02,1500,56345666453
2505663.776,72.00,1485,56345673636
2505663.896,72.02,1485,56345680785
2505664.016,71.99,1500,56345687985
2505664.136,72.00,1485,56345695187
2505664.256,71.92,1500,56345709591
2505664.375,71.99,1500,56345716774
2505664.496,71.92,1485,56345723948
2505664.616,71.92,1485,56345731155
2505664.736,71.98,1485,56345738346
2505664.855,71.81,1485,56345752678
2505664.977,71.86,1485,56345759855
2505665.096,71.86,1500,56345767024
2505665.216,71.86,1500,56345774252
2505665.334,71.87,1500,56345781462
2505665.454,71.93,1485,56345795828
2505665.575,71.95,1500,56345803048
2505665.695,71.96,1485,56345810219
2505665.816,72.07,1500,56345817400
2505665.936,71.92,1485,56345824605
2505666.056,72.03,1485,56345838629
2505666.161,69.88,1500,56345841500
2505666.268,65.71,1500,56345844120
2505666.373,61.56,1500,56345846731
2505666.477,53.25,1500,56345849339
2505666.582,49.03,1500,56345851945
2505666.687,44.83,1500,56345854550
2505666.792,40.69,1500,56345857147
2505666.896,36.49,1500,56345859746
2505667.001,32.38,1500,56345862346
2505667.107,32.38,1500,56345864946
2505667.211,26.10,1500,56345867556
2505667.327,30.91,1080,56345874990
2505667.434,35.18,1110,56345882307
2505667.540,39.47,1080,56345889653
2505667.650,43.64,1110,56345896955
2505667.756,47.90,1095,56345911648
2505667.865,52.26,1095,56345918999
2505667.971,56.54,1095,56345926320
2505668.078,64.73,960,56345933537
2505668.189,65.11,990,56345940420
2505668.296,72.77,990,56345947357
2505668.413,71.59,1425,56345953957
2505668.528,71.60,1500,56345961166
2505668.642,71.58,1500,56345968496
2505668.757,71.75,1500,56345983132
2505668.872,71.79,1500,56345990457
2505668.988,71.78,1500,56345997787
2505669.102,71.69,1470,56346005056
2505669.216,71.85,1395,56346012194
2505669.333,71.85,1365,56346019169
2505669.447,71.89,1380,56346026108
2505669.561,72.18,1455,56346040368
2505669.675,72.24,1485,56346047695
2505669.793,72.28,1500,56346055032
2505669.912,72.20,1485,56346062380
2505670.026,72.07,1470,56346069629
2505670.140,71.93,1425,56346076856
2505670.255,71.91,1410,56346091005
2505670.372,71.76,1365,56346097978
2505670.487,71.85,1395,56346105033
2505670.601,71.96,1455,56346112231
2505670.715,72.01,1500,56346119509
2505670.831,72.03,1485,56346126864
2505670.946,72.04,1485,56346134197
2505671.060,72.08,1440,56346148710
2505671.174,72.10,1425,56346155823
2505671.292,71.98,1395,56346162853
2505671.407,71.86,1395,56346169885
2505671.521,72.05,1425,56346177005
2505671.636,72.14,1470,56346184177
2505671.753,72.20,1470,56346198710
2505671.872,72.27,1500,56346206059
2505671.986,72.22,1485,56346213377
2505672.099,72.16,1440,56346220572
2505672.214,71.96,1410,56346227679
2505672.331,71.75,1410,56346234719
2505672.446,71.89,1410,56346241823
2505672.560,72.09,1425,56346256109
2505672.674,72.04,1455,56346263323
2505672.792,72.09,1470,56346270627
2505672.912,72.10,1485,56346277970
