request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_baseline_256655-0084,prefill_medium,1024,64,64,P1,D1,300.94608501531184,56.95217858726484,308.30929707735777,56.95526495147201,56.951144793336944,3896.4909890200943,218.56147202197462,3670.1394610572606,True,True
phase3c-xpyd_power_compare_baseline_256655-0085,prefill_medium,1024,64,64,P1,D1,301.7135610571131,56.94628209393058,309.8936949390918,56.94313499973052,56.93906774589171,3897.3111999221146,219.16898293420672,3669.9335649609566,True,True
phase3c-xpyd_power_compare_baseline_256655-0086,prefill_medium,1024,64,64,P1,D1,300.9391719242558,56.953414492974325,308.6969779105857,56.95774092058104,56.9530886039877,3897.0346559071913,218.57599401846528,3670.1885809889063,True,True
phase3c-xpyd_power_compare_baseline_256655-0087,prefill_medium,1024,64,64,P1,D1,300.9096069727093,56.96322469942508,308.6906229145825,56.96596782691481,56.961404446083755,3897.5465960102156,219.7533599101007,3669.598932028748,True,True
phase3c-xpyd_power_compare_baseline_256655-0088,prefill_medium,1024,64,64,P1,D1,303.6944220075384,56.93507209486727,312.2401649598032,56.93824061872586,56.93300050823757,3899.349323939532,220.25220596697181,3670.035338960588,True,True
phase3c-xpyd_power_compare_baseline_256655-0089,prefill_medium,1024,64,64,P1,D1,299.7738920385018,56.958096364276514,307.8401619568467,56.96225858714786,56.95774361845993,3896.462452947162,219.54077505506575,3668.3455769671127,True,True
phase3c-xpyd_power_compare_baseline_256655-0090,prefill_medium,1024,64,64,P1,D1,304.7703879419714,56.96623366776972,313.8246199814603,56.97375228480688,56.96847034980439,3903.171013924293,221.47032292559743,3671.8527110060677,True,True
phase3c-xpyd_power_compare_baseline_256655-0091,prefill_medium,1024,64,64,P1,D1,301.08927201945335,56.98528749284349,309.1842520516366,56.99124728469917,56.986716808751225,3899.6328309876844,220.22050502710044,3670.623481972143,True,True
phase3c-xpyd_power_compare_baseline_256655-0092,prefill_medium,1024,64,64,P1,D1,297.9206199524924,56.97275639607734,305.12991396244615,56.978473922104705,56.972867397162766,3894.7737710550427,217.5394450314343,3669.427167973481,True,True
phase3c-xpyd_power_compare_baseline_256655-0093,prefill_medium,1024,64,64,P1,D1,319.9770470382646,56.95518726919083,329.2031199671328,56.95890071469226,56.953859047979,3917.613864992745,235.74812593869865,3672.1179540036246,True,True
phase3c-xpyd_power_compare_baseline_256655-0094,prefill_medium,1024,64,64,P1,D1,313.06846300140023,56.9636571121269,321.1214089533314,56.96784422200705,56.96287301612929,3910.0955949397758,229.07296905759722,3672.3983980482444,True,True
phase3c-xpyd_power_compare_baseline_256655-0095,prefill_medium,1024,64,64,P1,D1,319.36938292346895,56.9675679222518,328.51631299126893,56.978010476404236,56.972206237592864,3918.130973004736,234.97385100927204,3673.06104907766,True,True
phase3c-xpyd_power_compare_baseline_256655-0096,prefill_heavy,2048,64,64,P1,D1,483.96973602939397,58.082612253548135,494.225507020019,58.09126034866841,58.08558249254785,4153.974908986129,391.84228400699794,3751.0604390408844,True,True
phase3c-xpyd_power_compare_baseline_256655-0097,prefill_heavy,2048,64,64,P1,D1,472.40457590669394,58.09312179455504,481.7544330144301,58.10042676175871,58.094109857587945,4142.081319005229,381.7026069154963,3750.2675170544535,True,True
phase3c-xpyd_power_compare_baseline_256655-0098,prefill_heavy,2048,64,64,P1,D1,472.9441690724343,58.08895122119418,481.90984199754894,58.09515395334789,58.09009782711251,4141.904541058466,381.72309601213783,3750.5044129211456,True,True
phase3c-xpyd_power_compare_baseline_256655-0099,prefill_heavy,2048,64,64,P1,D1,474.0425869822502,58.090480920370844,483.0234390683472,58.096825268991765,58.09019833234035,4143.123431014828,382.01243698131293,3751.3962549855933,True,True
phase3c-xpyd_power_compare_baseline_256655-0100,prefill_heavy,2048,64,64,P1,D1,476.67034598998725,58.081385522474726,486.4048829767853,58.08639944538415,58.081322556568516,4145.848048035987,385.49312797840685,3749.978290987201,True,True
phase3c-xpyd_power_compare_baseline_256655-0101,prefill_heavy,2048,64,64,P1,D1,475.65784107428044,58.0721062530453,484.63913693558425,58.07739436545128,58.072763698412075,4143.514981959015,383.23795597534627,3750.630868016742,True,True
phase3c-xpyd_power_compare_baseline_256655-0102,prefill_heavy,2048,64,64,P1,D1,474.5179680176079,58.07272346121155,485.4668079642579,58.07770455500022,58.0731185082908,4144.362194929272,381.57757406588644,3751.162340049632,True,True
phase3c-xpyd_power_compare_baseline_256655-0103,prefill_heavy,2048,64,64,P1,D1,473.33031601738185,58.07470747580131,486.623830976896,58.07913598486237,58.074231603227204,4145.609398023225,380.9293929953128,3750.783678959124,True,True
phase3c-xpyd_power_compare_baseline_256655-0104,prefill_heavy,2048,64,64,P1,D1,476.06109105981886,58.075196412761535,485.2784320246428,58.080617173959226,58.07597519061159,4144.357313984074,382.67679105047137,3751.770972041413,True,True
phase3c-xpyd_power_compare_baseline_256655-0105,prefill_heavy,2048,64,64,P1,D1,475.50032299477607,58.07613469808111,488.6087109334767,58.08046390487265,58.075340667976036,4147.677936940454,382.96860095579177,3750.9795340010896,True,True
phase3c-xpyd_power_compare_baseline_256655-0106,prefill_heavy,2048,64,64,P1,D1,475.92361900024116,58.07943850763083,484.7876770654693,58.08456814182656,58.07998768305258,4144.115470000543,383.1543239066377,3751.418389030732,True,True
phase3c-xpyd_power_compare_baseline_256655-0107,prefill_heavy,2048,64,64,P1,D1,476.47972498089075,58.076669650507114,485.49576196819544,58.081337539035644,58.07607896840348,4144.620026927441,383.373643970117,3751.6266559250653,True,True
phase3c-xpyd_power_compare_baseline_256655-0108,prefill_heavy,2048,64,64,P1,D1,478.29535603523254,58.07460522249578,487.54484893288463,58.080314571732686,58.07579552481276,4146.604666952044,386.0065349144861,3750.670660054311,True,True
phase3c-xpyd_power_compare_baseline_256655-0109,prefill_heavy,2048,64,64,P1,D1,475.5404939642176,58.08884941322345,484.9092629738152,58.09361600161841,58.0889986835361,4144.807071075775,383.5331469308585,3751.2841089628637,True,True
phase3c-xpyd_power_compare_baseline_256655-0110,prefill_heavy,2048,64,64,P1,D1,474.142053979449,58.07341754044746,483.5134380264208,58.07721117393128,58.07263858705049,4142.377741984092,380.97847695462406,3751.4525570441037,True,True
phase3c-xpyd_power_compare_baseline_256655-0111,prefill_heavy,2048,64,64,P1,D1,475.3763530170545,58.08188279514157,483.96823089569807,58.08608728601405,58.08148792176138,4143.391729914583,383.1741319736466,3751.003746059723,True,True
phase3c-xpyd_power_compare_baseline_256655-0112,prefill_heavy,2048,64,64,P1,D1,476.6323521034792,58.08026969824578,485.15441396739334,58.08572133352596,58.080384794193954,4144.554857979529,384.6027939580381,3750.752052059397,True,True
phase3c-xpyd_power_compare_baseline_256655-0113,prefill_heavy,2048,64,64,P1,D1,472.6914269849658,58.074761952628336,482.0534869795665,58.079675603140565,58.075070094745904,4141.073049977422,379.7917660558596,3751.2843620497733,True,True
phase3c-xpyd_power_compare_baseline_256655-0114,prefill_heavy,2048,64,64,P1,D1,471.188219031319,58.074739920566714,479.5555039308965,58.0807496675305,58.076126937059655,4138.642732985318,379.30120492819697,3750.2529760822654,True,True
phase3c-xpyd_power_compare_baseline_256655-0115,prefill_heavy,2048,64,64,P1,D1,475.5112020066008,58.0898255538491,484.48986699804664,58.094581016265444,58.0900399668497,4144.44847102277,382.725190022029,3752.08003888838,True,True
phase3c-xpyd_power_compare_baseline_256655-0116,prefill_heavy,2048,64,64,P1,D1,474.42527092061937,58.07065711142347,483.3269630325958,58.07415925387647,58.0702739368592,4141.998996026814,382.2230719961226,3750.3257390344515,True,True
phase3c-xpyd_power_compare_baseline_256655-0117,prefill_heavy,2048,64,64,P1,D1,470.8402759861201,58.070379237289586,478.61886909231544,58.07372131606653,58.06894046032713,4137.263312004507,378.6165170604363,3750.3401269204915,True,True
