gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l40s,prefill,500,32,p99_ttft,0.9717079240936699,5.285399246792935,1
l40s,prefill,500,33,p99_ttft,0.017177919805249787,0.19159044224437136,0
l40s,prefill,500,34,p99_ttft,0.895440156873639,1.9159044224437136,0
l40s,prefill,500,35,p99_ttft,0.975596839936544,9.579522112218568,1
l40s,prefill,500,36,p99_ttft,0.00925956686948001,0.08389625978079093,0
l40s,prefill,500,37,p99_ttft,0.7473074751154531,0.8389625978079093,1
l40s,prefill,500,38,p99_ttft,0.9877760832104415,4.194812989039547,1
l40s,prefill,500,39,p99_ttft,0.012076685898197603,0.13558093261723303,0
l40s,prefill,500,40,p99_ttft,0.9087660769844983,1.3558093261723305,1
l40s,prefill,500,41,p99_ttft,0.9827810887606454,6.779046630861652,1
l40s,prefill,500,42,p99_ttft,0.05816600293432341,0.2727942760958204,0
l40s,prefill,500,43,p99_ttft,0.6218823507759254,2.727942760958204,1
l40s,prefill,500,44,p99_ttft,0.9707446831193209,13.63971380479102,1
