phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,2048,8,0,1867836.708522261,ok,,313.08320816606283,,1,313.15707019530237,1,417.336,1245.9837039932609
bursts_k1,2520,2048,8,0,1867836.708824657,ok,,616.7253160383552,,1,616.7997419834137,2,417.336,1245.9837039932609
bursts_k1,2520,2048,8,0,1867836.709120678,ok,,616.7288119904697,,1,616.7865800671279,3,417.336,1245.9837039932609
bursts_k1,2520,2048,8,0,1867836.70938741,ok,,922.5857721175998,,1,922.6790741086006,4,417.336,1245.9837039932609
bursts_k1,2520,2048,8,0,1867836.709658385,ok,,921.925816917792,,1,922.0216139219701,5,417.336,1245.9837039932609
bursts_k1,2520,2048,8,0,1867836.709928698,ok,,1243.482526158914,,1,1243.5741149820387,6,417.336,1245.9837039932609
bursts_k1,2520,2048,8,0,1867836.710192286,ok,,1243.5925579629838,,1,1243.6659841332585,7,417.336,1245.9837039932609
bursts_k1,2520,2048,8,2,1867838.501501707,ok,,327.5339170359075,,1,327.6048800908029,0,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.501928407,ok,,327.2624290548265,,1,327.30405288748443,1,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.502295755,ok,,630.6581709068269,,1,630.7449738960713,2,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.502562685,ok,,630.5859931744635,,1,630.6281760334969,3,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.502815396,ok,,936.301426962018,,1,936.3703038543463,4,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.503082064,ok,,936.196954920888,,1,936.2377000506967,5,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.503323964,ok,,1260.348663898185,,1,1260.4158739559352,6,414.832,1262.5509218778461
bursts_k1,2520,2048,8,2,1867838.50355378,ok,,1260.2675440721214,,1,1260.3061709087342,7,414.832,1262.5509218778461
bursts_k1,2520,1024,2,4,1867840.284274017,ok,,151.78772108629346,,1,151.85909601859748,0,44.366,152.15144213289022
bursts_k1,2520,1024,2,4,1867840.284581099,ok,,151.65259316563606,,1,151.69456601142883,1,44.366,152.15144213289022
bursts_k1,2520,128,4,4,1867840.955152208,ok,,45.058774994686246,,1,45.12936808168888,0,14.334,72.11349508725107
bursts_k1,2520,128,4,4,1867840.955574588,ok,,44.79344515129924,,1,44.846913078799844,1,14.334,72.11349508725107
bursts_k1,2520,128,4,4,1867840.95584837,ok,,70.95219497568905,,1,71.0179009474814,2,14.334,72.11349508725107
bursts_k1,2520,128,4,4,1867840.956086761,ok,,70.85731299594045,,1,70.8954599685967,3,14.334,72.11349508725107
bursts_k1,2520,2048,2,3,1867841.554541123,ok,,313.9352088328451,,1,314.005363965407,0,88.252,314.33694483712316
bursts_k1,2520,2048,2,3,1867841.555159606,ok,,313.49994288757443,,1,313.54190106503665,1,88.252,314.33694483712316
bursts_k1,2520,2048,8,4,1867842.401399814,ok,,325.1251948531717,,1,325.1963269431144,0,414.949,1261.3738200161606
bursts_k1,2520,2048,8,4,1867842.401823664,ok,,324.85261000692844,,1,324.8929060064256,1,414.949,1261.3738200161606
bursts_k1,2520,2048,8,4,1867842.40213407,ok,,629.618805134669,,1,629.6869241632521,2,414.949,1261.3738200161606
bursts_k1,2520,2048,8,4,1867842.402409896,ok,,629.4900549110025,,1,629.527579061687,3,414.949,1261.3738200161606
bursts_k1,2520,2048,8,4,1867842.402669822,ok,,935.8127489686012,,1,935.8819688204676,4,414.949,1261.3738200161606
